MUS 336 Percussion|15
MUS 337 Percussion|15
MUS 338 Guitar|15
MUS 339 Guitar|15
MUS 340 Composition|15
MUS 341 Composition|15
MUS 342 Improvisation|15
MUS 343 Improvisation|15
MUS 401 Voice|15
MUS 402 Voice|15
MUS 403 Piano|15
MUS 404 Piano|15
MUS 405 Organ|15
MUS 406 Organ|15
MUS 407 Harpsichord|15
MUS 408 Violin|15
MUS 409 Violin|15
MUS 410 Viola|15
MUS 411 Viola|15
MUS 412 Cello|15
MUS 413 Cello|15
MUS 414 Double Bass|15
MUS 415 Double Bass|15
MUS 416 Trumpet|15
MUS 417 Trumpet|15
MUS 418 French Horn|15
MUS 419 French Horn|15
MUS 420 Trombone|15
MUS 421 Trombone|15
MUS 422 Baritone|15
MUS 423 Baritone|15
MUS 424 Tuba|15
MUS 425 Tuba|15
MUS 426 Flute|15
MUS 427 Flute|15
MUS 428 Clarinet|15
MUS 429 Clarinet|15
MUS 430 Saxophone|15
MUS 431 Saxophone|15
MUS 432 Oboe|15
MUS 433 Oboe|15
MUS 434 Bassoon|15
MUS 435 Bassoon|15
MUS 436 Percussion|15
MUS 437 Percussion|15
MUS 438 Guitar|15
MUS 439 Guitar|15
MUS 440 Composition|15
MUS 441 Composition|15
MUS 442 Improvisation|15
MUS 443 Improvisation|15
MUS 140 Piano Class|16
MUS 141 Piano Class|16
MUS 148 Guitar Class|16
MUS 149 Guitar Class|16
MUS 150 York College Chorale|16
MUS 151 York College Chorale|16
MUS 152 Chamber Singers|16
MUS 153 Chamber Singers|16
MUS 154 Opera and Musical Theatre|16
MUS 155 Opera and Musical Theatre|16
MUS 156 Vocal Repertoire|16
MUS 157 Vocal Repertoire|16
MUS 158 Women∆s Ensemble|16
MUS 159 Women∆s Ensemble|16
MUS 160 Wind Symphony|16
MUS 161 Wind Symphony|16
MUS 162 Jazz Ensemble|16
MUS 163 Jazz Ensemble|16
MUS 164 Community Orchestra|16
MUS 165 Community Orchestra|16
MUS 166 String Ensemble|16
MUS 167 String Ensemble|16
MUS 168 Brass Choir|16
MUS 169 Brass Choir|16
MUS 170 Woodwind Ensemble|16
MUS 171 Woodwind Ensemble|16
MUS 172 Percussion Ensemble|16
MUS 173 Percussion Ensemble|16
MUS 174 Keyboard Ensemble|16
MUS 175 Keyboard Ensemble|16
MUS 176 Guitar Ensemble|16
MUS 177 Guitar Ensemble|16
MUS 178 Rock Band|16
MUS 179 Rock Band|16
MUS 240 Piano Class|16
MUS 241 Piano Class|16
MUS 250 York College Chorale|16
MUS 251 York College Chorale|16
MUS 252 Chamber Singers|16
MUS 253 Chamber Singers|16
MUS 254 Opera and Musical Theatre|16
MUS 255 Opera and Musical Theatre|16
MUS 256 Vocal Repertoire|16
MUS 257 Vocal Repertoire|16
MUS 258 Women∆s Ensemble|16
MUS 259 Women∆s Ensemble|16
MUS 260 Wind Symphony|16
MUS 261 Wind Symphony|16
MUS 262 Jazz Ensemble|16
MUS 263 Jazz Ensemble|16
MUS 264 Community Orchestra|16
MUS 265 Community Orchestra|16
MUS 266 String Ensemble|16
MUS 267 String Ensemble|16
MUS 268 Brass Choir|16
MUS 269 Brass Choir|16
MUS 270 Woodwind Ensemble|16
MUS 271 Woodwind Ensemble|16
MUS 272 Percussion Ensemble|16
MUS 273 Percussion Ensemble|16
MUS 274 Keyboard Ensemble|16
MUS 275 Keyboard Ensemble|16
MUS 276 Guitar Ensemble|16
MUS 277 Guitar Ensemble|16
MUS 278 Rock Band|16
MUS 279 Rock Band|16
MUS 350 York College Chorale|16
MUS 351 York College Chorale|16
MUS 352 Chamber Singers|16
MUS 353 Chamber Singers|16
MUS 354 Opera and Musical Theater|16
MUS 355 Opera and Musical Theater|16
MUS 356 Vocal Repertoire|16
MUS 357 Vocal Repertoire|16
MUS 358 Women∆s Ensemble|16
MUS 359 Women∆s Ensemble|16
MUS 360 Wind Symphony|16
MUS 361 Wind Symphony|16
MUS 362 Jazz Ensemble|16
MUS 363 Jazz Ensemble|16
MUS 364 Community Orchestra|16
MUS 365 Community Orchestra|16
MUS 366 String Ensemble|16
MUS 367 String Ensemble|16
MUS 368 Brass Choir|16
MUS 369 Brass Choir|16
MUS 370 Woodwind Ensemble|16
MUS 371 Woodwind Ensemble|16
MUS 372 Percussion Ensemble|16
MUS 373 Percussion Ensemble|16
MUS 374 Keyboard Ensemble|16
MUS 375 Keyboard Ensemble|16
MUS 376 Guitar Ensemble|16
MUS 377 Guitar Ensemble|16
MUS 378 Rock Band|16
MUS 379 Rock Band|16
MUS 450 York College Chorale|16
MUS 451 York College Chorale|16
MUS 452 Chamber Singers|16
MUS 453 Chamber Singers|16
MUS 454 Opera and Musical Theater|16
MUS 455 Opera and Musical Theater|16
MUS 456 Vocal Repertoire|16
MUS 457 Vocal Repertoire|16
MUS 458 Women∆s Ensemble|16
MUS 459 Women∆s Ensemble|16
MUS 460 Wind Symphony|16
MUS 461 Wind Symphony|16
MUS 462 Jazz Ensemble|16
MUS 463 Jazz Ensemble|16
MUS 464 Community Orchestra|16
MUS 465 Community Orchestra|16
MUS 466 String Ensemble|16
MUS 467 String Ensemble|16
MUS 468 Brass Choir|16
MUS 469 Brass Choir|16
MUS 470 Woodwind Ensemble|16
MUS 471 Woodwind Ensemble|16
MUS 472 Percussion Ensemble|16
MUS 473 Percussion Ensemble|16
MUS 474 Keyboard Ensemble|16
MUS 475 Keyboard Ensemble|16
MUS 476 Guitar Ensemble|16
MUS 477 Guitar Ensemble|16
MUS 478 Rock Band|16
MUS 479 Rock Band|16
MUS 181 Foundations of Music Theory and Musicianship|17
MUS 182 Music Theory I|17
MUS 183 Music Theory II|17
MUS 184 Aural Skills I|17
MUS 185 Aural Skills II|17
MUS 186 (MUS200) Listening to Music|17
MUS 245 Exploring Music in Film|17
MUS 246 Jazz and Popular Music Theory|17
MUS 247 Commercial Song Writing|17
MUS 281 World Music|17
MUS 282 Music Theory III|17
MUS 283 Music Theory IV|17
MUS 284 Aural Skills III|17
MUS 285 Aural Skills IV|17
MUS 286 Jazz History|17
MUS 287 American Popular Music|17
MUS 288 History of Rock and Roll|17
MUS 290 Introduction to Music Literature|17
MUS 296 History of Musical Theatre|17
MUS 297 Survey of Music Industry|17
MUS 299 Music and Culture Since 1900|17
MUS 346 Music Production I|17
MUS 349 Vocal Pedagogy I|17
MUS 380 Ethnomusicology|17
MUS 385 Form and Analysis|17
MUS 390 Music History I|17
MUS 391 Music History II|17
MUS 397 Music Entertainment and Promotion|17
MUS 446 Music Production II|17
MUS 486 Orchestration and Arranging|17
MUS 490 Choral Conducting|17
MUS 491 Instrumental Conducting|17
MUS 494 Music Industry Internship|17
MUS 495 Music Industry Internship|17
MUS 497 Music Publishing - Licensing and Copyright|17
MUS 498 Independent Study|17
MUS 499 Independent Study|17
MUS 146 Vocal Methods|18
MUS 292 String Methods|18
MUS 293 Brass Methods|18
MUS 294 Woodwind Methods|18
MUS 295 Percussion Methods|18
MUS 298 Foreign Language Diction for Choirs|18
MUS 392 Teaching Music in the Elementary School|18
MUS 393 Teaching Music in the Secondary School|18
THE 150 Movement for the Stage|19
THE 205 Text Performance|19
THE 220 Stagecraft|19
THE 221 Theatre Technology|19
THE 222 Costume Construction|19
THE 223 Costume Crafts and Technology|19
THE 225 Make-up for Theatre|19
THE 254 Introduction to Theatre|19
THE 262 Acting|19
THE 275 Playwriting|19
THE 300 Arts Administration|19
THE 320 Scene Design|19
THE 321 Lighting Design|19
THE 322 Costume Design|19
THE 350 Theatre Practicum|19
THE 351 Theatre Practicum|19
THE 352 Theatre Practicum|19
THE 353 Theatre Practicum|19
THE 355 Advanced Acting|19
THE 360 History of Theatre I|19
THE 361 History of Theatre II|19
THE 363 Theatre Directing|19
THE 380 Special Topics in Theatre|19
THE 410 Western Theatre|19
THE 415 Non-Western Theatre|19
THE 416 Modern Drama|19
THE 430 Devised Theatre and Performance|19
THE 450 Theatre Internship|19
